element,metric,total_edges,baseline_score,top_k,edge_percentage,circuit_score,faithfulness
aspect,logit_diff,179749,29.3534,100,0.1%,-13.3859,-45.6027%
aspect,logit_diff,179749,29.3534,200,0.1%,-12.2046,-41.5783%
aspect,logit_diff,179749,29.3534,500,0.3%,-8.1677,-27.8254%
aspect,logit_diff,179749,29.3534,1000,0.6%,-3.2764,-11.1620%
aspect,logit_diff,179749,29.3534,2000,1.1%,1.3924,4.7435%
aspect,logit_diff,179749,29.3534,5000,2.8%,12.6699,43.1632%
aspect,logit_diff,179749,29.3534,10000,5.6%,18.7676,63.9366%
aspect,logit_diff,179749,29.3534,20000,11.1%,22.5533,76.8335%
aspect,logit_diff,179749,29.3534,30000,16.7%,24.9773,85.0916%
aspect,logit_diff,179749,29.3534,40000,22.3%,26.1408,89.0553%
opinion,logit_diff,179749,21.7901,100,0.1%,-13.3991,-61.4918%
opinion,logit_diff,179749,21.7901,200,0.1%,-11.9655,-54.9128%
opinion,logit_diff,179749,21.7901,500,0.3%,-7.4758,-34.3082%
opinion,logit_diff,179749,21.7901,1000,0.6%,-4.5447,-20.8569%
opinion,logit_diff,179749,21.7901,2000,1.1%,0.3553,1.6305%
opinion,logit_diff,179749,21.7901,5000,2.8%,8.3303,38.2298%
opinion,logit_diff,179749,21.7901,10000,5.6%,14.3936,66.0558%
opinion,logit_diff,179749,21.7901,20000,11.1%,18.6345,85.5180%
opinion,logit_diff,179749,21.7901,30000,16.7%,20.3469,93.3768%
opinion,logit_diff,179749,21.7901,40000,22.3%,21.0342,96.5311%
sentiment,logit_diff,179749,16.0028,100,0.1%,-11.3860,-71.1502%
sentiment,logit_diff,179749,16.0028,200,0.1%,-10.8525,-67.8163%
sentiment,logit_diff,179749,16.0028,500,0.3%,-9.6420,-60.2522%
sentiment,logit_diff,179749,16.0028,1000,0.6%,-8.2794,-51.7369%
sentiment,logit_diff,179749,16.0028,2000,1.1%,-6.9566,-43.4713%
sentiment,logit_diff,179749,16.0028,5000,2.8%,-1.8137,-11.3338%
sentiment,logit_diff,179749,16.0028,10000,5.6%,3.4115,21.3184%
sentiment,logit_diff,179749,16.0028,20000,11.1%,7.8051,48.7734%
sentiment,logit_diff,179749,16.0028,30000,16.7%,9.8501,61.5526%
sentiment,logit_diff,179749,16.0028,40000,22.3%,11.1242,69.5138%
