element,metric,total_edges,baseline_score,top_k,edge_percentage,circuit_score,faithfulness
aos,logit_diff,179749,9.7943,1000,0.6%,5.3282,54.4012%
aos,logit_diff,179749,9.7943,1000,0.6%,5.3282,54.4012%
aos,logit_diff,179749,9.7943,1000,0.6%,5.3282,54.4012%
aos,logit_diff,179749,9.7943,2000,1.1%,6.1880,63.1801%
aos,logit_diff,179749,9.7943,2000,1.1%,6.1880,63.1801%
aos,logit_diff,179749,9.7943,2000,1.1%,6.1880,63.1801%
aos,logit_diff,179749,9.7943,5000,2.8%,7.2207,73.7240%
aos,logit_diff,179749,9.7943,5000,2.8%,7.2207,73.7240%
aos,logit_diff,179749,9.7943,5000,2.8%,7.2207,73.7240%
aos,logit_diff,179749,9.7943,7000,3.9%,7.6784,78.3969%
